,0_0_0,0_0_1,0_0_2,0_0_3,0_0_4,0_0_5,0_1_0,0_1_1,0_1_2,0_1_3,0_1_4,0_1_5,0_2_0,0_2_1,0_2_2,0_2_3,0_2_4,0_2_5,0_3_0,0_3_1,0_3_2,0_3_3,0_3_4,0_3_5,0_4_0,0_4_1,0_4_2,0_4_3,0_4_4,0_4_5,1_0_0,1_0_1,1_0_2,1_0_3,1_0_4,1_0_5,1_1_0,1_1_1,1_1_2,1_1_3,1_1_4,1_1_5,1_2_0,1_2_1,1_2_2,1_2_3,1_2_4,1_2_5,1_3_0,1_3_1,1_3_2,1_3_3,1_3_4,1_3_5,1_4_0,1_4_1,1_4_2,1_4_3,1_4_4,1_4_5,2_0_0,2_0_1,2_0_2,2_0_3,2_0_4,2_0_5,2_1_0,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_2_0,2_2_1,2_2_2,2_2_3,2_2_4,2_2_5,2_3_0,2_3_1,2_3_2,2_3_3,2_3_4,2_3_5,2_4_0,2_4_1,2_4_2,2_4_3,2_4_4,2_4_5,3_0_0,3_0_1,3_0_2,3_0_3,3_0_4,3_0_5,3_1_0,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5,3_2_0,3_2_1,3_2_2,3_2_3,3_2_4,3_2_5,3_3_0,3_3_1,3_3_2,3_3_3,3_3_4,3_3_5,3_4_0,3_4_1,3_4_2,3_4_3,3_4_4,3_4_5,4_0_0,4_0_1,4_0_2,4_0_3,4_0_4,4_0_5,4_1_0,4_1_1,4_1_2,4_1_3,4_1_4,4_1_5,4_2_0,4_2_1,4_2_2,4_2_3,4_2_4,4_2_5,4_3_0,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_4_0,4_4_1,4_4_2,4_4_3,4_4_4,4_4_5
0,0.65,0.0,0.63,0.0,0.0,0.0,0.12,0.47,0.12,0.25,0.12,0.33,0.12,0.27,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.12,0.26,0.12,0.25,0.12,0.33,0.17,0.0,0.25,0.0,0.0,0.0,0.56,0.87,0.5,0.56,0.5,0.69,0.14,0.06,0.12,0.13,0.12,0.15,0.0,0.0,0.0,0.17,0.25,0.0,0.14,0.06,0.12,0.13,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.17,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.43,0.12,0.12,0.12,0.33,0.25,0.28,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.65,0.63,0.0,0.25,0.29,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
1,0.71,0.0,0.64,0.0,0.0,0.0,0.1,0.69,0.12,0.24,0.12,0.33,0.1,0.16,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.28,0.63,0.0,0.1,0.15,0.12,0.24,0.12,0.33,0.19,0.0,0.25,0.0,0.0,0.0,0.55,0.94,0.5,0.55,0.5,0.73,0.13,0.03,0.12,0.13,0.12,0.14,0.0,0.0,0.0,0.19,0.25,0.0,0.13,0.03,0.12,0.13,0.12,0.14,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.18,0.57,0.66,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.28,0.0,0.63,0.0,0.0,0.0,0.24,0.64,0.12,0.11,0.12,0.33,0.24,0.18,0.12,0.11,0.12,0.33,0.0,0.0,0.0,0.67,0.63,0.0,0.24,0.18,0.12,0.11,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.18,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.66,0.5,0.57,0.5,0.66
2,0.66,0.0,0.63,0.0,0.0,0.0,0.12,0.45,0.12,0.25,0.12,0.33,0.11,0.28,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.11,0.27,0.12,0.25,0.12,0.33,0.16,0.0,0.25,0.0,0.0,0.0,0.56,0.88,0.5,0.56,0.5,0.69,0.14,0.06,0.12,0.13,0.12,0.15,0.0,0.0,0.0,0.18,0.25,0.0,0.14,0.06,0.12,0.13,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.25,0.0,0.63,0.0,0.0,0.0,0.25,0.42,0.12,0.12,0.12,0.33,0.25,0.29,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.65,0.63,0.0,0.25,0.29,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
3,0.65,0.0,0.63,0.0,0.0,0.0,0.12,0.47,0.12,0.25,0.12,0.33,0.11,0.27,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.11,0.26,0.12,0.25,0.12,0.33,0.16,0.0,0.25,0.0,0.0,0.0,0.56,0.88,0.5,0.56,0.5,0.69,0.14,0.06,0.12,0.14,0.12,0.15,0.0,0.0,0.0,0.16,0.25,0.0,0.14,0.06,0.12,0.14,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.43,0.12,0.13,0.12,0.33,0.25,0.28,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.63,0.63,0.0,0.25,0.29,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
4,0.66,0.0,0.63,0.0,0.0,0.0,0.11,0.42,0.12,0.25,0.12,0.33,0.11,0.29,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.11,0.29,0.12,0.25,0.12,0.33,0.24,0.0,0.26,0.0,0.0,0.0,0.52,0.86,0.5,0.52,0.5,0.68,0.12,0.07,0.12,0.13,0.12,0.16,0.0,0.0,0.0,0.23,0.25,0.0,0.12,0.07,0.12,0.13,0.12,0.16,0.15,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.17,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.4,0.12,0.12,0.12,0.33,0.25,0.3,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.65,0.63,0.0,0.25,0.3,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
5,0.67,0.0,0.63,0.0,0.0,0.0,0.11,0.59,0.12,0.25,0.12,0.33,0.11,0.21,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.11,0.2,0.12,0.25,0.12,0.33,0.17,0.0,0.25,0.0,0.0,0.0,0.56,0.91,0.5,0.57,0.5,0.71,0.14,0.04,0.12,0.14,0.12,0.15,0.0,0.0,0.0,0.16,0.25,0.0,0.14,0.04,0.12,0.14,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.66,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.55,0.12,0.12,0.12,0.33,0.25,0.22,0.12,0.11,0.12,0.33,0.0,0.0,0.0,0.66,0.63,0.0,0.25,0.23,0.12,0.11,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
6,0.62,0.0,0.63,0.0,0.0,0.0,0.13,0.42,0.12,0.24,0.12,0.33,0.13,0.29,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.27,0.63,0.0,0.13,0.29,0.12,0.24,0.12,0.33,0.18,0.0,0.25,0.0,0.0,0.0,0.55,0.83,0.5,0.55,0.5,0.68,0.13,0.09,0.12,0.13,0.12,0.16,0.0,0.0,0.0,0.19,0.25,0.0,0.13,0.09,0.12,0.13,0.12,0.16,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.4,0.12,0.13,0.12,0.33,0.25,0.3,0.12,0.13,0.12,0.33,0.0,0.0,0.0,0.62,0.63,0.0,0.25,0.3,0.12,0.13,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.17,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
7,0.65,0.0,0.63,0.0,0.0,0.0,0.12,0.38,0.12,0.25,0.12,0.33,0.12,0.31,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.26,0.63,0.0,0.12,0.31,0.12,0.25,0.12,0.33,0.18,0.0,0.25,0.0,0.0,0.0,0.55,0.84,0.5,0.54,0.5,0.68,0.13,0.08,0.12,0.13,0.12,0.16,0.0,0.0,0.0,0.19,0.25,0.0,0.13,0.08,0.12,0.13,0.12,0.16,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.38,0.12,0.12,0.12,0.33,0.25,0.31,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.63,0.63,0.0,0.25,0.31,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.17,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
8,0.65,0.0,0.63,0.0,0.0,0.0,0.12,0.38,0.12,0.24,0.12,0.33,0.12,0.31,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.27,0.63,0.0,0.12,0.31,0.12,0.24,0.12,0.33,0.19,0.0,0.25,0.0,0.0,0.0,0.54,0.85,0.5,0.55,0.5,0.68,0.13,0.08,0.12,0.13,0.12,0.16,0.0,0.0,0.0,0.18,0.25,0.0,0.13,0.08,0.12,0.13,0.12,0.16,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.37,0.12,0.12,0.12,0.33,0.25,0.31,0.12,0.12,0.12,0.33,0.0,0.0,0.0,0.63,0.63,0.0,0.25,0.32,0.12,0.12,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.17,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
9,0.7,0.0,0.64,0.0,0.0,0.0,0.1,0.52,0.12,0.24,0.12,0.33,0.1,0.24,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.27,0.63,0.0,0.1,0.24,0.12,0.24,0.12,0.33,0.18,0.0,0.25,0.0,0.0,0.0,0.56,0.92,0.5,0.55,0.5,0.71,0.13,0.04,0.12,0.13,0.12,0.15,0.0,0.0,0.0,0.18,0.25,0.0,0.13,0.04,0.12,0.13,0.12,0.14,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.26,0.0,0.63,0.0,0.0,0.0,0.25,0.49,0.12,0.11,0.12,0.33,0.25,0.25,0.12,0.11,0.12,0.33,0.0,0.0,0.0,0.68,0.63,0.0,0.25,0.26,0.12,0.11,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.16,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
10,0.67,0.0,0.64,0.0,0.0,0.0,0.12,0.42,0.12,0.24,0.12,0.33,0.11,0.31,0.12,0.24,0.12,0.33,0.0,0.0,0.0,0.27,0.63,0.0,0.11,0.27,0.12,0.24,0.12,0.33,0.23,0.0,0.26,0.0,0.0,0.0,0.52,0.88,0.49,0.52,0.49,0.7,0.12,0.06,0.12,0.12,0.12,0.15,0.0,0.0,0.0,0.23,0.26,0.0,0.12,0.06,0.12,0.12,0.12,0.15,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.66,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.16,0.12,0.14,0.12,0.16,0.28,0.0,0.63,0.0,0.0,0.0,0.24,0.39,0.12,0.12,0.12,0.33,0.24,0.29,0.12,0.11,0.12,0.33,0.0,0.0,0.0,0.65,0.63,0.0,0.24,0.32,0.12,0.11,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.17,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.66
11,0.6,0.0,0.63,0.0,0.0,0.0,0.13,0.35,0.12,0.25,0.12,0.33,0.13,0.33,0.12,0.25,0.12,0.33,0.0,0.0,0.0,0.25,0.63,0.0,0.13,0.33,0.12,0.25,0.12,0.33,0.15,0.0,0.25,0.0,0.0,0.0,0.57,0.77,0.5,0.57,0.5,0.67,0.14,0.12,0.12,0.14,0.12,0.16,0.0,0.0,0.0,0.15,0.25,0.0,0.14,0.12,0.12,0.14,0.12,0.16,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.57,0.67,0.5,0.57,0.5,0.67,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.25,0.0,0.63,0.0,0.0,0.0,0.25,0.36,0.12,0.13,0.12,0.33,0.25,0.32,0.12,0.13,0.12,0.33,0.0,0.0,0.0,0.6,0.63,0.0,0.25,0.32,0.12,0.13,0.12,0.33,0.14,0.0,0.25,0.0,0.0,0.0,0.14,0.17,0.12,0.14,0.12,0.17,0.14,0.17,0.12,0.14,0.12,0.17,0.0,0.0,0.0,0.14,0.25,0.0,0.57,0.67,0.5,0.57,0.5,0.67
